Close,Timestamp,Low,High,Open,TradedDate,Volume,SymbolKey,MA20,MA50,MACD,Confidence,Signal,MA200,MACDHist,MACDSignal,RSI14,ATR
1865.1,2025-10-21T15:37:47.529210,1848.7,1875,1874,2025-06-09,3649505,BHARTIARTL,,,,,,,,,,
1857.1,2025-10-21T15:37:47.203063,1850.3,1875.6,1866.6,2025-06-10,7925901,BHARTIARTL,,,,,,,,,,
1860.2,2025-10-21T15:37:46.885325,1847.8,1866.5,1857.9,2025-06-11,8907265,BHARTIARTL,,,,,,,,,,
1844.2,2025-10-21T15:37:46.559604,1831.6,1883,1871.9,2025-06-12,7346031,BHARTIARTL,,,,,,,,,,
1840.4,2025-10-21T15:37:46.242814,1815,1844.6,1815,2025-06-13,4613000,BHARTIARTL,,,,,,,,,,
1861.3,2025-10-21T15:37:45.632057,1838.8,1870,1842.1,2025-06-15,5722187,BHARTIARTL,,,,,,,,,,
1861.3,2025-10-21T15:37:45.313152,1838.8,1870,1842.1,2025-06-16,5722187,BHARTIARTL,,,,,,,,,,
1854.8,2025-10-21T15:37:45.008872,1847.6,1879,1879,2025-06-17,6561555,BHARTIARTL,,,,,,,,,,
1865.9,2025-10-21T15:37:44.679664,1843.1,1871,1847.6,2025-06-18,5069427,BHARTIARTL,,,,,,,,,,
1877,2025-10-21T15:37:44.348857,1864.1,1879,1872,2025-06-19,4712312,BHARTIARTL,,,,,,,,,,
1936.7,2025-10-21T15:37:44.049120,1874,1949,1880,2025-06-20,16228526,BHARTIARTL,,,,,,,,,,
1936.3,2025-10-21T15:37:43.436500,1927.1,1949,1930,2025-06-22,2946463,BHARTIARTL,,,,,,,,,,
1936.3,2025-10-21T15:37:43.119549,1927.1,1949,1930,2025-06-23,2946463,BHARTIARTL,,,,,,,,,,
1933.6,2025-10-21T15:37:42.827988,1929.1,1963,1950.9,2025-06-24,6837210,BHARTIARTL,,,,,,,,,,
1965.6,2025-10-21T15:37:42.498194,1938,1970,1942,2025-06-25,4152765,BHARTIARTL,,,,,,,,,,
2014.3,2025-10-21T15:37:42.180444,1966.3,2018.4,1970,2025-06-26,9413241,BHARTIARTL,,,,,,,,,,
2027.1,2025-10-21T15:37:41.856937,2008.6,2039,2010,2025-06-27,6405854,BHARTIARTL,,,,,,,,,,
2009.6,2025-10-21T15:37:41.240367,2000.2,2023.9,2018,2025-06-29,5597484,BHARTIARTL,,,,,,,,,,
2009.6,2025-10-21T15:37:40.876805,2000.2,2023.9,2018,2025-06-30,5597484,BHARTIARTL,,,,,,,,,,
2019.4,2025-10-21T15:37:40.561803,2006.9,2030.8,2009,2025-07-01,3769165,BHARTIARTL,,,,,,,,,,
2033.3,2025-10-21T15:37:40.249029,2018.3,2045.8,2037,2025-07-02,6513288,BHARTIARTL,,,,,,,,,,
2019.3,2025-10-21T15:37:39.953977,2012.9,2044.9,2041.8,2025-07-03,5558647,BHARTIARTL,,,,,,,,,,
2017.2,2025-10-21T15:37:39.522043,2005.1,2036.5,2027,2025-07-04,2178315,BHARTIARTL,,,,,,,,,,
2033.9,2025-10-21T15:37:38.925031,2010.6,2036,2018,2025-07-06,4165432,BHARTIARTL,,,,,,,,,,
2033.9,2025-10-21T15:37:38.580792,2010.6,2036,2018,2025-07-07,4165432,BHARTIARTL,,,,,,,,,,
2030,2025-10-21T15:37:38.188684,2014.8,2035,2026,2025-07-08,3624619,BHARTIARTL,,,,,,,,,,
2019.7,2025-10-21T15:37:37.898274,1998.5,2040.7,2035,2025-07-09,2937734,BHARTIARTL,,,,,,,,,,
1964.5,2025-10-21T15:37:37.597582,1962.3,2028.6,2028.6,2025-07-10,5695845,BHARTIARTL,,,,,,,,,,
1921.9,2025-10-21T15:37:37.295586,1914.2,1959.1,1942,2025-07-11,13103980,BHARTIARTL,,,,,,,,,,
